GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,GRADE
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,2,3.428571429,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5,8.571428571,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,2,3.428571429,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,5.714285714,9.795918367,A
FEMALE,27,"KOREA, REPUBLIC OF",TIADA PENAJA,ANALITIK BISNES,10,5.714285714,9.795918367,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,5,2.857142857,4.897959184,B+
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,5,3,5.142857143,A
MALE,27,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.285714286,3.918367347,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,4.142857143,7.102040816,A
MALE,25,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,4.142857143,7.102040816,A
FEMALE,25,MALAYSIA,BIASISWA,ANALITIK BISNES,10,3.142857143,5.387755102,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9.5,5,8.571428571,A
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,2.714285714,4.653061224,A
MALE,25,MALAYSIA,BIASISWA,ANALITIK BISNES,10,4,6.857142857,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1,1.714285714,B+
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,2,3.428571429,A
FEMALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,8.18,0.714285714,1.224489796,B
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,7.72,2.428571429,4.163265306,B+
MALE,44,MALAYSIA,BIASISWA,ANTARA RANGKAIAN,10,4.714285714,8.081632653,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.142857143,0.244897959,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1.142857143,1.959183673,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,1.142857143,1.959183673,A
MALE,26,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,9.55,1.285714286,2.204081633,B
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,1,1.714285714,A
FEMALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,8.18,0.142857143,0.244897959,B
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,9.54,0,0,B+
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,0.857142857,1.469387755,A
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,4,6.857142857,A
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,9.54,2,3.428571429,A
FEMALE,24,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,0.857142857,1.469387755,A
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,0.714285714,1.224489796,B
FEMALE,22,CHINA,TIADA PENAJA,ANTARA RANGKAIAN,8.18,0.714285714,1.224489796,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,8.18,2,3.428571429,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,3.857142857,6.612244898,A
MALE,25,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.571428571,0.979591837,A
MALE,23,MALAYSIA,BIASISWA,ANTARA RANGKAIAN,9.54,0.285714286,0.489795918,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,0.571428571,0.979591837,A
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,0.714285714,1.224489796,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.714285714,1.224489796,A-
MALE,29,PALESTINIAN TERRITORY,BIASISWA,ANTARA RANGKAIAN,9.54,2,3.428571429,B+
FEMALE,24,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,2.571428571,4.408163265,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,7.72,0.142857143,0.244897959,A-
MALE,25,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,7.72,2,3.428571429,A-
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1.714285714,2.93877551,A
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,1.428571429,2.448979592,A
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,7.72,3.285714286,5.632653061,B
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,1.428571429,2.448979592,A
FEMALE,44,MALAYSIA,BIASISWA,ANTARA RANGKAIAN,10,6.142857143,10.53061224,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1,1.714285714,A-
MALE,24,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,1.142857143,1.959183673,A
MALE,24,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,0.285714286,0.489795918,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.571428571,0.979591837,B+
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,9.54,0.142857143,0.244897959,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,2.142857143,3.673469388,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.714285714,1.224489796,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.285714286,0.489795918,A-
MALE,24,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,0,0,A
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,1,1.714285714,B
MALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,7.72,0.142857143,0.244897959,B
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.857142857,1.469387755,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,8.18,0.571428571,0.979591837,B+
MALE,23,MALAYSIA,TIADA PENAJA,ANTARA RANGKAIAN,10,2.571428571,4.408163265,B+
MALE,24,MALAYSIA,PINJAMAN,ANTARA RANGKAIAN,10,0.285714286,0.489795918,C
MALE,25,MALAYSIA,TIADA PENAJA,APLIKASI BERGERAK,11,2.142857143,3.673469388,B+
MALE,25,INDONESIA,TIADA PENAJA,APLIKASI BERGERAK,12.5,1,1.714285714,A
MALE,24,MALAYSIA,TIADA PENAJA,APLIKASI BERGERAK,10,2.714285714,4.653061224,A
FEMALE,24,MALAYSIA,TIADA PENAJA,APLIKASI BERGERAK,8,3.142857143,5.387755102,A
MALE,25,MALAYSIA,PINJAMAN,APLIKASI BERGERAK,14,3.857142857,6.612244898,A
